Ticker;Cotacao;P/L;P/VP;PSR;DY;P/Ativo;P/Cap.Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Mrg.Ebit;Mrg.Liq.;Liq.Corr.;ROIC;ROE;Liq.2meses;Pat.Liq;Div.Brut/Pat.;Cresc.5anos
CXSE3;6.93;10.28;1.87;0.0;0.078;1.851;14.99;-266.13;15.0;-253.7;-253.84;0.0;0.0;13.42;-0.0076;0.1818;18669700.0;11120100000.0;0.0;0.0
MODL11;7.35;10.3;1.35;0.0;0.0423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1311;4992330.0;1277980000.0;0.0;0.0
SBSP3;42.17;10.35;1.11;1.464;0.0224;0.533;16.14;6.97;-1.36;10.4;6.69;0.2102;0.1415;1.34;0.082;0.1075;163827000.0;25907400000.0;0.68;0.0728
MILS3;5.85;10.59;1.27;1.759;0.053;0.808;2.23;6.9;7.77;6.68;3.91;0.2548;0.1658;4.4;0.1726;0.1204;7185820.0;1129700000.0;0.43;0.2932
GRND3;7.03;10.62;1.54;2.714;0.0626;1.378;2.59;18.56;2.67;15.18;12.08;0.1462;0.2556;7.0;0.1062;0.1448;14639100.0;4124610000.0;0.04;-0.0034
BTTL3;20.19;10.68;7.92;0.546;0.0;1.535;19.75;9.55;-5.67;9.95;7.79;0.0571;0.0511;1.17;0.2256;0.7412;395854.0;37891000.0;1.12;0.3972
BALM3;14.42;10.79;1.14;1.049;0.0174;0.63;1.5;18.37;2.48;15.72;10.86;0.0571;0.0678;2.56;0.0443;0.1056;234.91;124110000.0;0.16;0.0713
TUPY3;22.23;10.87;1.2;0.406;0.0194;0.461;1.35;4.73;275.64;6.79;4.38;0.0858;0.0369;2.24;0.1379;0.1106;21207200.0;2666340000.0;0.88;0.1431
MODL3;2.6;10.93;1.43;0.0;0.0399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1311;23958.9;1277980000.0;0.0;0.0
CIEL3;3.75;11.15;1.0;1.976;0.0434;0.102;2.46;11.77;-6.76;8.34;5.28;0.1678;0.1772;1.05;0.0864;0.0898;93413600.0;10170400000.0;0.38;-0.215
BPAC11;22.31;11.31;2.18;0.0;0.0172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1925;262802000.0;39299500000.0;0.0;0.6569
